,MTX GR Equity
,GHG_SCOPE_1
2011-12-31,26.95
2012-12-31,27.401
2013-12-31,32.06
2014-12-31,27.439
2015-12-31,41.754
2016-12-31,36.788
2017-12-31,33.28
2018-12-31,32800.0
2019-12-31,33100.0
2020-12-31,39100.0
2021-12-31,39.9
