,VEI NO Equity
,GHG_SCOPE_1
2012-12-31,49.065
2013-12-31,81.975
2014-12-31,75.965
2015-12-31,71.466
2016-12-31,74.114
2017-12-31,93.673
2019-12-31,107.498
2020-12-31,94.034
2021-12-31,78.73
