,EDEN FP Equity
,GHG_SCOPE_1
2011-12-31,0.328
2012-12-31,0.466
2013-12-31,0.519
2014-12-31,0.271
2015-12-31,0.341
2016-12-31,0.535
2017-12-31,0.723
2018-12-31,6.228
2019-12-31,6.193
2020-12-31,4.415
2021-12-31,4.818
