,BDX PW Equity
,GHG_SCOPE_1
2012-12-31,44.895
2013-12-31,37.678
2014-12-31,30.22
2015-12-31,37.316
2016-12-31,44.556
2017-12-31,54.545
2018-12-31,76.475
2019-12-31,64.041
2020-12-31,65.546
2021-12-31,64.598
