,RMV LN Equity
,GHG_SCOPE_1
2013-12-31,0.461
2014-12-31,0.51
2015-12-31,0.492
2016-12-31,0.486
2017-12-31,0.495
2018-12-31,0.484
2019-12-31,0.485
2020-12-31,0.214
2021-12-31,0.171
