,STM FP Equity
,GHG_SCOPE_1
2011-12-31,493.0
2012-12-31,561.0
2013-12-31,554.0
2014-12-31,626.0
2015-12-31,575.0
2016-12-31,552.0
2017-12-31,605.0
2018-12-31,644.0
2019-12-31,557.0
2020-12-31,486.0
2021-12-31,481.0
