,MT NA Equity
,GHG_SCOPE_1
2013-12-31,169000.0
2014-12-31,175100.0
2015-12-31,176000.0
2016-12-31,176000.0
2017-12-31,178651.0
2018-12-31,174000.0
2019-12-31,169700.0
2020-12-31,141300.0
2021-12-31,131100.0
