,GRI LN Equity
,GHG_SCOPE_1
2011-09-30,0.249
2012-09-30,0.398
2013-09-30,1.467
2014-09-30,1.65
2015-09-30,0.6
2016-09-30,0.603
2017-09-30,0.598
2018-09-30,0.697
2019-09-30,0.811
2020-09-30,0.959
2021-09-30,1.014
