,VAIAS FH Equity
,GHG_SCOPE_1
2011-12-31,3.9
2012-12-31,0.79
2013-12-31,0.601
2014-12-31,0.626
2015-12-31,0.816
2016-12-31,0.477
2017-12-31,0.22
2018-12-31,0.288
2019-12-31,0.254
2020-12-31,0.218
2021-12-31,0.214
