,ASHM LN Equity
,GHG_SCOPE_1
2013-06-30,0.053
2014-06-30,0.056
2015-06-30,0.04
2016-06-30,0.021
2017-06-30,0.035
2018-06-30,0.035
2019-06-30,0.035
2020-06-30,0.035
2021-06-30,0.043
