,PAGE LN Equity
,GHG_SCOPE_1
2013-12-31,4.565
2014-12-31,1.395
2015-12-31,1.527
2016-12-31,1.662
2017-12-31,1.627
2018-12-31,1.882
2019-12-31,2.033
2020-12-31,2.023
2021-12-31,0.648
