,BWNG LN Equity
,GHG_SCOPE_1
2012-03-03,2.676
2013-03-02,3.285
2014-03-01,3.276
2015-02-28,2.929
2016-02-27,2.205
2017-03-04,2.362
2018-03-03,2.402
2019-03-02,2.255
2020-02-29,2.216
2021-02-27,1.816
2022-02-26,2.316
