,AHT LN Equity
,GHG_SCOPE_1
2013-04-30,147.411
2014-04-30,162.874
2015-04-30,188.514
2016-04-30,198.769
2017-04-30,214.078
2018-04-30,234.053
2019-04-30,265.319
2020-04-30,296.128
2021-04-30,288.438
2022-04-30,302.843
