,RCH LN Equity
,GHG_SCOPE_1
2011-01-02,5.419
2012-01-01,8.049
2012-12-30,5.464
2013-12-29,5.526
2014-12-28,4.501
2015-12-27,4.532
2016-12-27,4.466
2017-12-31,4.034
2018-12-30,4.634
2019-12-29,4.156
2020-12-27,3.977
2021-12-26,3.828
