,DEC FP Equity
,GHG_SCOPE_1
2011-12-31,29.661
2012-12-31,31.362
2013-12-31,31.84
2014-12-31,31.132
2015-12-31,31.772
2016-12-31,33.278
2017-12-31,32.723
2018-12-31,31.175
2019-12-31,30.1
2020-12-31,21.2
2021-12-31,22.6
