,BON FP Equity
,GHG_SCOPE_1
2012-06-30,153.149
2013-06-30,121.205
2014-06-30,110.18
2015-06-30,109.514
2016-06-30,95.558
2017-06-30,89.823
2018-06-30,110.779
2019-06-30,120.527
2020-06-30,120.781
2021-06-30,128.583
