,HOLMB SS Equity
,GHG_SCOPE_1
2012-12-31,351.0
2013-12-31,349.4
2014-12-31,139.25
2015-12-31,196.56
2016-12-31,378.4
2017-12-31,313.355
2018-12-31,336.29
2019-12-31,303.32
2020-12-31,302.03
2021-12-31,97.0
