,HEIA NA Equity
,GHG_SCOPE_1
2011-12-31,1173.0
2012-12-31,1264.0
2013-12-31,1216.0
2014-12-31,1172.0
2015-12-31,1034.0
2016-12-31,1059.0
2017-12-31,1022.0
2018-12-31,1043.0
2019-12-31,1038.0
2020-12-31,880.0
2021-12-31,951.0
