,TEP LN Equity
,GHG_SCOPE_1
2014-03-31,0.071
2015-03-31,0.035
2016-03-31,0.115
2017-03-31,0.337
2018-03-31,0.337
2019-03-31,1.025
2020-03-31,1.973
2021-03-31,1.742
2022-03-31,1.755
