,GLE FP Equity
,GHG_SCOPE_1
2011-12-31,32.0
2012-12-31,32.091
2013-12-31,31.778
2014-12-31,32.483
2015-12-31,30.839
2016-12-31,31.805
2017-12-31,29.174
2018-12-31,29.983
2019-12-31,26.667
2020-12-31,23.195
2021-12-31,24.415
