,BUCN SW Equity
,GHG_SCOPE_1
2012-12-31,45.687
2013-12-31,47.86
2014-12-31,42.784
2015-12-31,43.249
2016-12-31,43.588
2017-12-31,46.155
2018-12-31,48.398
2019-12-31,44.939
2020-12-31,40.586
2021-12-31,45.843
