,EMG LN Equity
,GHG_SCOPE_1
2013-12-31,0.469
2014-12-31,0.326
2015-12-31,0.38
2016-12-31,0.33
2017-12-31,0.265
2018-12-31,1.388
2019-12-31,1.136
2020-12-31,0.788
2021-12-31,0.641
