,ACA FP Equity
,GHG_SCOPE_1
2013-12-31,12.159
2014-12-31,9.35
2015-12-31,8.483
2016-12-31,16.961
2017-12-31,15.325
2018-12-31,17.674
2019-12-31,16.495
2020-12-31,14.475
2021-12-31,20.601
