,IHG LN Equity
,GHG_SCOPE_1
2011-12-31,656.0
2012-12-31,516.586
2013-12-31,472.384
2014-12-31,487.673
2015-12-31,531.683
2016-12-31,556.902
2017-12-31,443.549
2018-12-31,448.691
2019-12-31,529.093
2020-12-31,342.504
2021-12-31,440.719
