,CSGN SW Equity
,GHG_SCOPE_1
2011-12-31,17.81
2012-12-31,23.52
2013-12-31,22.58
2014-12-31,17.33
2015-12-31,16.63
2016-12-31,17.47
2017-12-31,18.47
2018-12-31,17.2
2019-12-31,15.6
2020-12-31,15.65
2021-12-31,12.471
