,IAG LN Equity
,GHG_SCOPE_1
2011-12-31,23080.801
2012-12-31,23249.6
2013-12-31,23664.5
2014-12-31,25219.801
2015-12-31,26335.699
2016-12-31,28264.4
2017-12-31,28780.0
2018-12-31,30138.199
2019-12-31,30780.0
2020-12-31,11020.0
2021-12-31,10920.0
