,BAER SW Equity
,GHG_SCOPE_1
2011-12-31,0.867
2012-12-31,1.057
2014-12-31,1.174
2015-12-31,1.358
2016-12-31,1.638
2017-12-31,1.578
2018-12-31,1.784
2019-12-31,1.668
2020-12-31,1.957
2021-12-31,2.663
