,NOG LN Equity
,GHG_SCOPE_1
2011-12-31,437.604
2012-12-31,257.154
2013-12-31,217.479
2014-12-31,264.121
2015-12-31,222.546
2016-12-31,207.35
2017-12-31,254.332
2018-12-31,254.156
2019-12-31,223.008
2020-12-31,187.599
2021-12-31,187.467
