,ESNT LN Equity
,GHG_SCOPE_1
2013-12-31,11.595
2014-12-31,8.967
2015-12-31,11.543
2016-12-31,10.479
2017-12-31,10.738
2018-12-31,11.245
2019-12-31,10.264
2020-12-31,7.603
2021-12-31,8.307
