,AVON LN Equity
,GHG_SCOPE_1
2013-09-30,0.007
2014-09-30,2.378
2015-09-30,2.34
2016-09-30,2.198
2017-09-30,2.012
2018-09-30,1.667
2019-09-30,1.889
2020-09-30,1.163
2021-09-30,3.036
