,BMY LN Equity
,GHG_SCOPE_1
2012-02-29,0.113
2013-02-28,0.092
2014-02-28,0.07
2015-02-28,0.061
2016-02-29,0.074
2017-02-28,0.078
2018-02-28,0.049
2019-02-28,0.081
2020-02-29,0.114
2021-02-28,0.018
2022-02-28,0.04
