,ARCLK TI Equity
,GHG_SCOPE_1
2011-12-31,84.254
2012-12-31,80.072
2013-12-31,66.685
2014-12-31,64.888
2015-12-31,72.112
2016-12-31,79.162
2017-12-31,74.916
2018-12-31,72.939
2019-12-31,69.257
2020-12-31,71.583
