,ULKER TI Equity
,GHG_SCOPE_1
2013-12-31,66.688
2014-12-31,65.923
2015-12-31,64.561
2016-12-31,72.177
2017-12-31,70.242
2018-12-31,67.81
2019-12-31,68.57
2020-12-31,84.313
2021-12-31,84.783
