,TRE SM Equity
,GHG_SCOPE_1
2013-12-31,8.216
2014-12-31,8.136
2015-12-31,22.614
2016-12-31,30.404
2017-12-31,40.496
2018-12-31,45.396
2019-12-31,75.55
2020-12-31,49.123
2021-12-31,33.943
