,SCYR SM Equity
,GHG_SCOPE_1
2012-12-31,862.135
2013-12-31,981.537
2014-12-31,688.926
2015-12-31,712.753
2016-12-31,540.152
2017-12-31,482.972
2018-12-31,481.751
2019-12-31,437.435
2020-12-31,119.657
2021-12-31,119.084
