,RED SM Equity
,GHG_SCOPE_1
2011-12-31,68.325
2012-12-31,77.355
2013-12-31,79.61
2014-12-31,83.125
2015-12-31,33.662
2016-12-31,31.5
2017-12-31,28.765
2018-12-31,39.272
2019-12-31,23.614
2020-12-31,25.557
2021-12-31,23.632
