,IPF LN Equity
,GHG_SCOPE_1
2011-12-31,19.932
2012-12-31,21.113
2013-12-31,24.891
2014-12-31,24.914
2015-12-31,26.261
2016-12-31,27.7
2017-12-31,26.267
2018-12-31,25.69
2019-12-31,25.2
2020-12-31,17.312
2021-12-31,18.739
