,CURY LN Equity
,GHG_SCOPE_1
2014-03-29,19.832
2015-05-02,23.421
2016-04-30,23.411
2017-04-29,24.097
2018-04-28,25.703
2019-04-27,24.089
2020-05-02,22.208
2021-05-01,20.952
2022-04-30,18.158
