,JMAT LN Equity
,GHG_SCOPE_1
2014-03-31,165.0
2015-03-31,208.0
2016-03-31,204.0
2017-03-31,203.0
2018-03-31,215.0
2019-03-31,220.317
2020-03-31,199.125
2021-03-31,203.93
2022-03-31,219.846
