,HLMA LN Equity
,GHG_SCOPE_1
2014-03-29,4.199
2015-03-28,4.348
2016-04-02,3.955
2017-04-01,4.568
2018-03-31,4.771
2019-03-31,4.424
2020-03-31,4.818
2021-03-31,4.205
2022-03-31,4.451
