,FER SM Equity
,GHG_SCOPE_1
2012-12-31,493.028
2013-12-31,501.35
2014-12-31,489.168
2015-12-31,495.305
2016-12-31,611.859
2017-12-31,938.865
2018-12-31,798.175
2019-12-31,791.974
2020-12-31,817.503
2021-12-31,761.314
