,TIT IM Equity
,GHG_SCOPE_1
2011-12-31,177.81
2012-12-31,160.489
2013-12-31,157.357
2014-12-31,140.651
2015-12-31,154.377
2016-12-31,145.152
2017-12-31,136.617
2018-12-31,165.921
2019-12-31,153.829
2020-12-31,130.65
2021-12-31,127.811
