,KPN NA Equity
,GHG_SCOPE_1
2011-12-31,68.7
2012-12-31,49.1
2015-12-31,37.5
2016-12-31,34.0
2017-12-31,33.0
2018-12-31,31.0
2019-12-31,26.3
2020-12-31,16.8
2021-12-31,13.1
