,SBMO NA Equity
,GHG_SCOPE_1
2011-12-31,1980.9
2012-12-31,2263.94
2013-12-31,2470.47
2014-12-31,3835.85
2015-12-31,5456.38
2016-12-31,6317.63
2017-12-31,5585.08
2018-12-31,5297.16
2019-12-31,5665.53
2020-12-31,5690.54
2021-12-31,0.237
