,DNB NO Equity
,GHG_SCOPE_1
2011-12-31,1.293
2012-12-31,1.571
2015-12-31,0.761
2016-12-31,0.987
2017-12-31,0.483
2018-12-31,0.451
2019-12-31,0.403
2020-12-31,0.282
2021-12-31,0.242
