,LIAB SS Equity
,GHG_SCOPE_1
2011-12-31,11.895
2012-12-31,11.349
2013-12-31,12.537
2014-12-31,12.588
2015-12-31,53.541
2016-12-31,51.427
2017-12-31,49.773
2018-12-31,58.274
2019-12-31,8.887
2020-12-31,6.667
2021-12-31,8.07
