,BATS LN Equity
,GHG_SCOPE_1
2011-12-31,368.042
2012-12-31,359.184
2013-12-31,358.723
2014-12-31,342.385
2015-12-31,330.495
2016-12-31,311.172
2017-12-31,326.242
2018-12-31,415.0
2019-12-31,396.398
2020-12-31,342.0
2021-12-31,325.0
