,TYRES FH Equity
,GHG_SCOPE_1
2011-12-31,35.638
2012-12-31,45.689
2013-12-31,58.415
2014-12-31,65.102
2015-12-31,63.937
2016-12-31,70.393
2017-12-31,72.134
2018-12-31,72.256
2019-12-31,64.942
2020-12-31,71.51
2021-12-31,77.66
