,SCHA NO Equity
,GHG_SCOPE_1
2013-12-31,1.02
2014-12-31,1.857
2015-12-31,1.579
2016-12-31,1.568
2017-12-31,0.179
2018-12-31,0.055
2019-12-31,0.262
2020-12-31,0.263
2021-12-31,0.264
