,MTO LN Equity
,GHG_SCOPE_1
2011-03-31,44.248
2012-03-31,43.31
2013-03-31,42.764
2014-03-31,42.075
2015-03-31,41.09
2016-03-31,38.688
2017-03-31,37.923
2018-03-31,35.974
2019-03-31,35.23
2020-03-31,26.441
2021-03-31,18.719
2022-03-31,19.414
