,BIM FP Equity
,GHG_SCOPE_1
2013-12-31,21.854
2014-12-31,25.67
2015-12-31,28.509
2016-12-31,28.258
2017-12-31,30.0
2018-12-31,31.0
2019-12-31,32.0
2020-12-31,29.0
2021-12-31,29.0
