,HOT GR Equity
,GHG_SCOPE_1
2011-12-31,835.0
2012-12-31,796.057
2013-12-31,3438.3
2014-12-31,5434.28
2015-12-31,2684.2
2016-12-31,2007.54
2017-12-31,2251.97
2018-12-31,2891.32
2019-12-31,2821.12
2020-12-31,2504.42
2021-12-31,216.179
