,VPK NA Equity
,GHG_SCOPE_1
2011-12-31,192.0
2012-12-31,241.0
2013-12-31,223.0
2014-12-31,189.0
2015-12-31,189.0
2016-12-31,186.0
2017-12-31,166.0
2018-12-31,165.0
2019-12-31,154.807
2020-12-31,207.078
2021-12-31,349.356
