,FROTO TI Equity
,GHG_SCOPE_1
2013-12-31,71.687
2014-12-31,70.91
2015-12-31,70.336
2016-12-31,56.783
2017-12-31,76.286
2018-12-31,74.492
2019-12-31,78.36
2020-12-31,80.098
2021-12-31,88.05
