,WHA NA Equity
,GHG_SCOPE_1
2013-12-31,2.014
2014-12-31,2.538
2015-12-31,2.2
2016-12-31,2.513
2017-12-31,28.794
2018-12-31,2.55
2019-12-31,1.998
2020-12-31,3.261
2021-12-31,2.974
