,GALP PL Equity
,GHG_SCOPE_1
2011-12-31,3199.56
2012-12-31,3319.76
2013-12-31,4148.63
2014-12-31,3481.13
2015-12-31,3758.36
2016-12-31,3759.93
2017-12-31,3624.71
2018-12-31,3264.94
2019-12-31,3298.11
2020-12-31,3096.4
2021-12-31,3198.74
