,KER FP Equity
,GHG_SCOPE_1
2011-12-31,13.273
2012-12-31,15.078
2013-12-31,18.682
2014-12-31,17.502
2015-12-31,17.716
2016-12-31,19.229
2017-12-31,21.034
2018-12-31,14.406
2019-12-31,16.715
2020-12-31,14.256
2021-12-31,19.281
