,DGE LN Equity
,GHG_SCOPE_1
2011-06-30,596.0
2012-06-30,597.6
2013-06-30,616.0
2014-06-30,664.3
2015-06-30,704.0
2016-06-30,656.0
2017-06-30,618.0
2018-06-30,621.127
2019-06-30,620.573
2020-06-30,567.08
2021-06-30,549.469
2022-06-30,554.476
