,SPT LN Equity
,GHG_SCOPE_1
2012-12-31,0.216
2013-12-31,0.238
2014-12-31,0.228
2015-12-31,0.256
2016-12-31,0.139
2017-12-31,0.101
2018-12-31,0.137
2019-12-31,0.145
2020-12-31,0.092
2021-12-31,0.1
