,AKBNK TI Equity
,GHG_SCOPE_1
2011-12-31,9.714
2012-12-31,11.201
2013-12-31,10.124
2014-12-31,9.254
2015-12-31,8.692
2016-12-31,7.912
2017-12-31,8.454
2018-12-31,8.684
2019-12-31,13.449
2020-12-31,10.298
2021-12-31,18.187
