,FORTUM FH Equity
,GHG_SCOPE_1
2011-12-31,24086.9
2012-12-31,21551.5
2013-12-31,21700.0
2014-12-31,20500.0
2015-12-31,19300.0
2016-12-31,18800.0
2017-12-31,18400.0
2018-12-31,20200.0
2019-12-31,19300.0
2020-12-31,49000.0
2021-12-31,69100.0
