,DRX LN Equity
,GHG_SCOPE_1
2013-12-31,20320.0
2014-12-31,16595.0
2015-12-31,13101.0
2016-12-31,6021.0
2017-12-31,6296.0
2018-12-31,4233.0
2019-12-31,2049.0
2020-12-31,2762.0
2021-12-31,932.0
