,ZAG AV Equity
,GHG_SCOPE_1
2011-04-30,6.839
2012-04-30,5.697
2013-04-30,7.211
2016-04-30,8.927
2017-04-30,8.731
2018-04-30,7.297
2019-04-30,6.217
2020-04-30,4.248
2021-04-30,5.099
2022-04-30,8.676
