,RXL FP Equity
,GHG_SCOPE_1
2011-12-31,91.628
2012-12-31,85.904
2013-12-31,87.659
2014-12-31,79.426
2015-12-31,76.957
2016-12-31,77.856
2017-12-31,74.141
2018-12-31,71.543
2019-12-31,71.429
2020-12-31,59.955
2021-12-31,64.346
